Member No.;Node;Location;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
1;2;4.000;κ_z;-0.01;0.02;-0.04;0.3;-0.6;-0.2;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-0.01;0.02;0.04;1.3;0.5;3.3;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-0.01;-0.02;-0.04;0.3;-0.6;-0.2;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;-0.01;-0.01;0.06;17.4;-1.5;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;;0.825;;-0.01;-0.01;0.06;15.7;-0.3;1.8;Beam | 3 - HEA 140 | L : 1.650 m
2;;0.825;;-0.01;-0.01;0.06;15.7;-0.3;1.8;Beam | 3 - HEA 140 | L : 1.650 m
2;;1.005;;-0.01;-0.01;0.06;15.5;-0.1;2.1;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;-0.01;0.00;0.05;14.9;0.7;2.7;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;ε_x;-0.01;0.00;0.05;14.9;0.7;2.7;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;ε_x;-0.01;-0.01;0.06;17.4;-1.5;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;γ_xy;-0.01;0.00;0.05;14.9;0.7;2.7;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;γ_xy;-0.01;-0.01;0.06;17.4;-1.5;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;γ_xz;-0.01;-0.01;0.06;17.4;-1.5;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;γ_xz;-0.01;0.00;0.05;14.9;0.7;2.7;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;κ_x;-0.01;-0.01;0.06;17.4;-1.5;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;κ_x;-0.01;0.00;0.05;14.9;0.7;2.7;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;κ_y;-0.01;0.00;0.05;14.9;0.7;2.7;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;κ_y;-0.01;-0.01;0.06;17.4;-1.5;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;κ_z;-0.01;0.00;0.05;14.9;0.7;2.7;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;κ_z;-0.01;-0.01;0.06;17.4;-1.5;0.0;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;-0.01;0.00;0.06;17.4;0.7;2.7;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;-0.01;-0.01;0.05;14.9;-1.5;0.0;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;
3;3;0.000;;-0.01;-0.02;0.06;8.6;-1.5;-3.5;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.787;;-0.01;-0.01;0.06;8.9;-0.4;-1.2;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.787;;-0.01;-0.01;0.06;8.9;-0.4;-1.2;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;-0.01;-0.01;0.05;8.6;0.6;0.6;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;142;1.575;ε_x;-0.01;-0.01;0.05;8.6;0.6;0.6;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;ε_x;-0.01;-0.02;0.06;8.6;-1.5;-3.5;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;γ_xy;-0.01;-0.01;0.05;8.6;0.6;0.6;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;γ_xy;-0.01;-0.02;0.06;8.6;-1.5;-3.5;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;γ_xz;-0.01;-0.02;0.06;8.6;-1.5;-3.5;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;γ_xz;-0.01;-0.01;0.05;8.6;0.6;0.6;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.591;κ_x;-0.01;-0.01;0.06;8.9;-0.7;-1.7;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;κ_x;-0.01;-0.02;0.06;8.6;-1.5;-3.5;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;κ_y;-0.01;-0.01;0.05;8.6;0.6;0.6;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;κ_y;-0.01;-0.02;0.06;8.6;-1.5;-3.5;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;κ_z;-0.01;-0.01;0.05;8.6;0.6;0.6;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;κ_z;-0.01;-0.02;0.06;8.6;-1.5;-3.5;Beam | 3 - HEA 140 | L : 1.575 m
Total;;;;-0.01;-0.01;0.06;8.9;0.6;0.6;Beam | 3 - HEA 140 | L : 1.575 m
3;;;;-0.01;-0.02;0.05;8.6;-1.5;-3.5;Beam | 3 - HEA 140 | L : 1.575 m
;;;;;;;;;;
4;4;0.000;;0.00;-0.01;0.09;9.2;-1.3;-2.0;Beam | 3 - HEA 140 | L : 0.150 m
4;;0.075;;0.00;-0.01;0.09;9.2;-1.1;-1.9;Beam | 3 - HEA 140 | L : 0.150 m
4;;0.075;;0.00;-0.01;0.09;9.2;-1.1;-1.9;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;;0.00;-0.01;0.09;9.3;-1.0;-1.8;Beam | 3 - HEA 140 | L : 0.150 m
Extremes;4;0.000;ε_x;0.00;-0.01;0.09;9.2;-1.3;-2.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;ε_x;0.00;-0.01;0.09;9.3;-1.0;-1.8;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;γ_xy;0.00;-0.01;0.09;9.3;-1.0;-1.8;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;γ_xy;0.00;-0.01;0.09;9.2;-1.3;-2.0;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;γ_xz;0.00;-0.01;0.09;9.2;-1.3;-2.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;γ_xz;0.00;-0.01;0.09;9.3;-1.0;-1.8;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;κ_x;0.00;-0.01;0.09;9.3;-1.0;-1.8;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;κ_x;0.00;-0.01;0.09;9.2;-1.3;-2.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;κ_y;0.00;-0.01;0.09;9.3;-1.0;-1.8;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;κ_y;0.00;-0.01;0.09;9.2;-1.3;-2.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;κ_z;0.00;-0.01;0.09;9.3;-1.0;-1.8;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;κ_z;0.00;-0.01;0.09;9.2;-1.3;-2.0;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;0.00;-0.01;0.09;9.3;-1.0;-1.8;Beam | 3 - HEA 140 | L : 0.150 m
4;;;;0.00;-0.01;0.09;9.2;-1.3;-2.0;Beam | 3 - HEA 140 | L : 0.150 m
;;;;;;;;;;
5;5;0.000;;0.00;0.00;0.11;43.0;-1.8;-2.0;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;0.00;0.00;0.11;43.0;-1.7;-2.0;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;0.00;0.00;0.11;43.0;-1.7;-2.0;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;;0.00;0.00;0.11;43.0;-1.6;-1.9;Beam | 3 - HEA 140 | L : 0.075 m
Extremes;5;0.000;ε_x;0.00;0.00;0.11;43.0;-1.8;-2.0;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;ε_x;0.00;0.00;0.11;43.0;-1.6;-1.9;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;γ_xy;0.00;0.00;0.11;43.0;-1.6;-1.9;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;γ_xy;0.00;0.00;0.11;43.0;-1.8;-2.0;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;γ_xz;0.00;0.00;0.11;43.0;-1.8;-2.0;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;γ_xz;0.00;0.00;0.11;43.0;-1.6;-1.9;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;κ_x;0.00;0.00;0.11;43.0;-1.6;-1.9;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;κ_x;0.00;0.00;0.11;43.0;-1.8;-2.0;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;κ_y;0.00;0.00;0.11;43.0;-1.6;-1.9;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;κ_y;0.00;0.00;0.11;43.0;-1.8;-2.0;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;κ_z;0.00;0.00;0.11;43.0;-1.6;-1.9;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;κ_z;0.00;0.00;0.11;43.0;-1.8;-2.0;Beam | 3 - HEA 140 | L : 0.075 m
Total;;;;0.00;0.00;0.11;43.0;-1.6;-1.9;Beam | 3 - HEA 140 | L : 0.075 m
5;;;;0.00;0.00;0.11;43.0;-1.8;-2.0;Beam | 3 - HEA 140 | L : 0.075 m
;;;;;;;;;;
6;7;0.000;;-0.01;-0.01;0.03;-0.6;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;;-0.01;-0.01;0.03;-0.6;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;;-0.01;0.00;0.01;-0.7;0.5;1.4;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;;-0.01;0.00;0.01;-0.7;0.5;1.4;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.738;;-0.01;0.00;0.01;-0.6;0.6;1.4;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;0.00;0.01;0.00;-0.3;0.5;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;0.00;0.01;0.00;-0.3;0.5;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;6;4.000;ε_x;0.00;0.01;0.00;-0.3;0.5;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;ε_x;-0.01;-0.01;0.03;-0.6;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;γ_xy;0.00;0.01;0.00;-0.3;0.5;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;γ_xy;-0.01;-0.01;0.03;-0.6;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;γ_xz;-0.01;-0.01;0.03;-0.6;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;γ_xz;0.00;0.01;0.00;-0.3;0.5;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;κ_x;0.00;0.01;0.00;-0.3;0.5;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.000;κ_x;-0.01;0.00;0.02;-0.7;0.4;1.2;Beam | 2 - HEA 160 | L : 4.000 m
6;;2.667;κ_y;-0.01;0.00;0.00;-0.5;0.6;1.1;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;κ_y;-0.01;-0.01;0.03;-0.6;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.738;κ_z;-0.01;0.00;0.01;-0.6;0.6;1.4;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;κ_z;0.00;0.01;0.00;-0.3;0.5;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;0.00;0.01;0.03;-0.3;0.6;1.4;Beam | 2 - HEA 160 | L : 4.000 m
6;;;;-0.01;-0.01;0.00;-0.7;0.0;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
7;8;0.000;;-0.01;0.00;0.12;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;;-0.01;0.00;0.12;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;1.738;;-0.01;0.00;0.02;0.1;2.2;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.238;;-0.01;0.00;-0.01;0.1;2.2;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;-0.01;0.00;-0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;-0.01;0.00;-0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Extremes;3;4.500;ε_x;-0.01;0.00;-0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;ε_x;-0.01;0.00;0.12;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;γ_xy;-0.01;0.00;0.12;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;γ_xy;-0.01;0.00;-0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;γ_xz;-0.01;0.00;0.12;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;γ_xz;-0.01;0.00;-0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.000;κ_x;-0.01;0.00;0.00;0.1;2.2;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;κ_x;-0.01;0.00;0.12;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.000;κ_y;-0.01;0.00;0.00;0.1;2.2;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;κ_y;-0.01;0.00;0.12;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;κ_z;-0.01;0.00;0.12;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.000;κ_z;-0.01;0.00;0.00;0.1;2.2;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Total;;;;-0.01;0.00;0.12;0.1;2.2;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;;;-0.01;0.00;-0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
;;;;;;;;;;
8;9;0.000;;-0.02;0.00;0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;;-0.02;0.00;0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.238;;-0.02;0.00;0.00;0.1;2.2;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;;-0.02;0.00;-0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;;-0.02;0.00;-0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
Extremes;4;5.000;ε_x;-0.02;0.00;-0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;ε_x;-0.02;0.00;0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;γ_xy;-0.02;0.00;0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;γ_xy;-0.02;0.00;-0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;γ_xz;-0.02;0.00;0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;γ_xz;-0.02;0.00;-0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.000;κ_x;-0.02;0.00;0.01;0.1;2.2;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;κ_x;-0.02;0.00;0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.238;κ_y;-0.02;0.00;0.00;0.1;2.2;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;κ_y;-0.02;0.00;0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;κ_z;-0.02;0.00;0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.500;κ_z;-0.02;0.00;-0.01;0.1;2.2;0.0;Beam | 2 - HEA 160 | L : 5.000 m
Total;;;;-0.02;0.00;0.11;0.1;2.2;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;;;-0.02;0.00;-0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
;;;;;;;;;;
9;10;0.000;;-0.01;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;;-0.01;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;1.738;;-0.01;0.00;0.01;0.1;1.3;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.238;;-0.01;0.00;-0.01;0.1;1.3;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;;-0.01;0.00;-0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;;-0.01;0.00;-0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Extremes;5;4.500;ε_x;-0.01;0.00;-0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;ε_x;-0.01;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;γ_xy;-0.01;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;γ_xy;-0.01;0.00;-0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;γ_xz;-0.01;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;γ_xz;-0.01;0.00;-0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.000;κ_x;-0.01;0.00;0.00;0.1;1.4;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;κ_x;-0.01;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.000;κ_y;-0.01;0.00;0.00;0.1;1.4;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;κ_y;-0.01;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;κ_z;-0.01;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.000;κ_z;-0.01;0.00;0.00;0.1;1.4;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Total;;;;-0.01;0.00;0.08;0.1;1.4;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;;;-0.01;0.00;-0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
;;;;;;;;;;
10;11;0.000;;-0.02;0.00;-0.04;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;;-0.02;0.00;-0.04;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;1.500;;-0.02;0.00;-0.06;0.0;-0.3;-0.1;Beam | 1 - IPE 500 | L : 4.000 m
10;;1.500;;-0.02;0.00;-0.06;0.0;-0.3;-0.1;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;;-0.02;0.00;-0.07;0.2;-0.9;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;;-0.02;0.00;-0.07;0.2;-0.9;0.0;Beam | 1 - IPE 500 | L : 4.000 m
Extremes;12;4.000;ε_x;-0.02;0.00;-0.07;0.2;-0.9;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;ε_x;-0.02;0.00;-0.04;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;γ_xy;-0.02;0.00;-0.04;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;γ_xy;-0.02;0.00;-0.07;0.2;-0.9;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;γ_xz;-0.02;0.00;-0.04;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;γ_xz;-0.02;0.00;-0.07;0.2;-0.9;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;κ_x;-0.02;0.00;-0.07;0.2;-0.9;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;1.000;κ_x;-0.02;0.00;-0.05;0.0;-0.2;-0.1;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;κ_y;-0.02;0.00;-0.04;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;κ_y;-0.02;0.00;-0.07;0.2;-0.9;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;κ_z;-0.02;0.00;-0.07;0.2;-0.9;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;2.000;κ_z;-0.02;0.00;-0.06;0.0;-0.4;-0.1;Beam | 1 - IPE 500 | L : 4.000 m
Total;;;;-0.02;0.00;-0.04;0.2;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;;;-0.02;0.00;-0.07;0.0;-0.9;-0.1;Beam | 1 - IPE 500 | L : 4.000 m
;;;;;;;;;;
11;12;0.000;;-0.01;0.00;0.09;0.2;-0.9;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;;0.825;;-0.01;0.00;0.09;0.2;-0.6;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;;0.825;;-0.01;0.00;0.09;0.2;-0.6;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;;1.005;;-0.01;0.00;0.09;0.2;-0.6;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;;-0.01;0.00;0.08;0.2;-0.4;0.0;Beam | 1 - IPE 500 | L : 1.650 m
Extremes;111;1.650;ε_x;-0.01;0.00;0.08;0.2;-0.4;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;ε_x;-0.01;0.00;0.09;0.2;-0.9;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;γ_xy;-0.01;0.00;0.08;0.2;-0.4;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;γ_xy;-0.01;0.00;0.09;0.2;-0.9;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;γ_xz;-0.01;0.00;0.09;0.2;-0.9;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;γ_xz;-0.01;0.00;0.08;0.2;-0.4;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;κ_x;-0.01;0.00;0.08;0.2;-0.4;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;κ_x;-0.01;0.00;0.09;0.2;-0.9;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;κ_y;-0.01;0.00;0.08;0.2;-0.4;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;κ_y;-0.01;0.00;0.09;0.2;-0.9;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;κ_z;-0.01;0.00;0.09;0.2;-0.9;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;κ_z;-0.01;0.00;0.08;0.2;-0.4;0.0;Beam | 1 - IPE 500 | L : 1.650 m
Total;;;;-0.01;0.00;0.09;0.2;-0.4;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;;;;-0.01;0.00;0.08;0.2;-0.9;0.0;Beam | 1 - IPE 500 | L : 1.650 m
;;;;;;;;;;
12;13;0.000;;-0.01;0.00;0.04;0.2;0.4;0.0;Beam | 1 - IPE 500 | L : 1.575 m
12;;0.787;;-0.01;0.00;0.03;0.2;0.5;0.0;Beam | 1 - IPE 500 | L : 1.575 m
12;;0.787;;-0.01;0.00;0.03;0.2;0.5;0.0;Beam | 1 - IPE 500 | L : 1.575 m
12;114;1.575;;-0.01;0.00;0.03;0.2;0.6;0.0;Beam | 1 - IPE 500 | L : 1.575 m
Extremes;114;1.575;ε_x;-0.01;0.00;0.03;0.2;0.6;0.0;Beam | 1 - IPE 500 | L : 1.575 m
12;13;0.000;ε_x;-0.01;0.00;0.04;0.2;0.4;0.0;Beam | 1 - IPE 500 | L : 1.575 m
12;114;1.575;γ_xy;-0.01;0.00;0.03;0.2;0.6;0.0;Beam | 1 - IPE 500 | L : 1.575 m
12;13;0.000;γ_xy;-0.01;0.00;0.04;0.2;0.4;0.0;Beam | 1 - IPE 500 | L : 1.575 m
12;13;0.000;γ_xz;-0.01;0.00;0.04;0.2;0.4;0.0;Beam | 1 - IPE 500 | L : 1.575 m
