Member No.;Node;Location;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
2;139;1.650;κ_x;-0.01;0.00;0.06;9.8;1.1;1.8;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;κ_y;-0.01;0.00;0.06;9.8;1.1;1.8;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;κ_y;-0.01;-0.01;0.07;11.6;-1.6;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;κ_z;-0.01;0.00;0.06;9.8;1.1;1.8;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;κ_z;-0.01;-0.01;0.07;11.6;-1.6;0.0;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;-0.01;0.00;0.07;11.6;1.1;1.8;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;-0.01;-0.01;0.06;9.8;-1.6;0.0;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;
3;3;0.000;;-0.01;-0.01;0.08;5.7;-2.0;-2.3;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.787;;-0.01;-0.01;0.07;6.0;-0.6;-0.8;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.787;;-0.01;-0.01;0.07;6.0;-0.6;-0.8;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;-0.01;-0.01;0.07;5.7;0.7;0.4;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;142;1.575;ε_x;-0.01;-0.01;0.07;5.7;0.7;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;ε_x;-0.01;-0.01;0.08;5.7;-2.0;-2.3;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;γ_xy;-0.01;-0.01;0.07;5.7;0.7;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;γ_xy;-0.01;-0.01;0.08;5.7;-2.0;-2.3;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;γ_xz;-0.01;-0.01;0.08;5.7;-2.0;-2.3;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;γ_xz;-0.01;-0.01;0.07;5.7;0.7;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.591;κ_x;-0.01;-0.01;0.07;6.0;-0.9;-1.1;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;κ_x;-0.01;-0.01;0.08;5.7;-2.0;-2.3;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;κ_y;-0.01;-0.01;0.07;5.7;0.7;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;κ_y;-0.01;-0.01;0.08;5.7;-2.0;-2.3;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;κ_z;-0.01;-0.01;0.07;5.7;0.7;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;κ_z;-0.01;-0.01;0.08;5.7;-2.0;-2.3;Beam | 3 - HEA 140 | L : 1.575 m
Total;;;;-0.01;-0.01;0.08;6.0;0.7;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;;;;-0.01;-0.01;0.07;5.7;-2.0;-2.3;Beam | 3 - HEA 140 | L : 1.575 m
;;;;;;;;;;
4;4;0.000;;0.00;0.00;0.11;6.1;-1.7;-1.4;Beam | 3 - HEA 140 | L : 0.150 m
4;;0.075;;0.00;0.00;0.11;6.1;-1.5;-1.3;Beam | 3 - HEA 140 | L : 0.150 m
4;;0.075;;0.00;0.00;0.11;6.1;-1.5;-1.3;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;;0.00;0.00;0.11;6.2;-1.3;-1.2;Beam | 3 - HEA 140 | L : 0.150 m
Extremes;4;0.000;ε_x;0.00;0.00;0.11;6.1;-1.7;-1.4;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;ε_x;0.00;0.00;0.11;6.2;-1.3;-1.2;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;γ_xy;0.00;0.00;0.11;6.2;-1.3;-1.2;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;γ_xy;0.00;0.00;0.11;6.1;-1.7;-1.4;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;γ_xz;0.00;0.00;0.11;6.1;-1.7;-1.4;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;γ_xz;0.00;0.00;0.11;6.2;-1.3;-1.2;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;κ_x;0.00;0.00;0.11;6.2;-1.3;-1.2;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;κ_x;0.00;0.00;0.11;6.1;-1.7;-1.4;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;κ_y;0.00;0.00;0.11;6.2;-1.3;-1.2;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;κ_y;0.00;0.00;0.11;6.1;-1.7;-1.4;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;κ_z;0.00;0.00;0.11;6.2;-1.3;-1.2;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;κ_z;0.00;0.00;0.11;6.1;-1.7;-1.4;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;0.00;0.00;0.11;6.2;-1.3;-1.2;Beam | 3 - HEA 140 | L : 0.150 m
4;;;;0.00;0.00;0.11;6.1;-1.7;-1.4;Beam | 3 - HEA 140 | L : 0.150 m
;;;;;;;;;;
5;5;0.000;;0.00;0.00;0.14;28.7;-2.2;-1.3;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;0.00;0.00;0.14;28.7;-2.1;-1.3;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;0.00;0.00;0.14;28.7;-2.1;-1.3;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;;0.00;0.00;0.14;28.7;-1.9;-1.3;Beam | 3 - HEA 140 | L : 0.075 m
Extremes;5;0.000;ε_x;0.00;0.00;0.14;28.7;-2.2;-1.3;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;ε_x;0.00;0.00;0.14;28.7;-1.9;-1.3;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;γ_xy;0.00;0.00;0.14;28.7;-1.9;-1.3;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;γ_xy;0.00;0.00;0.14;28.7;-2.2;-1.3;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;γ_xz;0.00;0.00;0.14;28.7;-2.2;-1.3;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;γ_xz;0.00;0.00;0.14;28.7;-1.9;-1.3;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;κ_x;0.00;0.00;0.14;28.7;-1.9;-1.3;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;κ_x;0.00;0.00;0.14;28.7;-2.2;-1.3;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;κ_y;0.00;0.00;0.14;28.7;-1.9;-1.3;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;κ_y;0.00;0.00;0.14;28.7;-2.2;-1.3;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;κ_z;0.00;0.00;0.14;28.7;-1.9;-1.3;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;κ_z;0.00;0.00;0.14;28.7;-2.2;-1.3;Beam | 3 - HEA 140 | L : 0.075 m
Total;;;;0.00;0.00;0.14;28.7;-1.9;-1.3;Beam | 3 - HEA 140 | L : 0.075 m
5;;;;0.00;0.00;0.14;28.7;-2.2;-1.3;Beam | 3 - HEA 140 | L : 0.075 m
;;;;;;;;;;
6;7;0.000;;-0.01;-0.01;0.02;-0.4;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;;-0.01;-0.01;0.02;-0.4;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;;-0.01;0.00;0.01;-0.4;0.5;0.9;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;;-0.01;0.00;0.01;-0.4;0.5;0.9;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.738;;-0.01;0.00;0.01;-0.4;0.5;0.9;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;-0.01;0.00;0.00;-0.1;0.7;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;-0.01;0.00;0.00;-0.1;0.7;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;6;4.000;ε_x;-0.01;0.00;0.00;-0.1;0.7;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;ε_x;-0.01;-0.01;0.02;-0.4;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;γ_xy;-0.01;0.00;0.00;-0.1;0.7;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;γ_xy;-0.01;-0.01;0.02;-0.4;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;γ_xz;-0.01;-0.01;0.02;-0.4;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;γ_xz;-0.01;0.00;0.00;-0.1;0.7;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;κ_x;-0.01;0.00;0.00;-0.1;0.7;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.000;κ_x;-0.01;0.00;0.02;-0.5;0.3;0.7;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;κ_y;-0.01;0.00;0.00;-0.1;0.7;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;κ_y;-0.01;-0.01;0.02;-0.4;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.738;κ_z;-0.01;0.00;0.01;-0.4;0.5;0.9;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;κ_z;-0.01;0.00;0.00;-0.1;0.7;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-0.01;0.00;0.02;-0.1;0.7;0.9;Beam | 2 - HEA 160 | L : 4.000 m
6;;;;-0.01;-0.01;0.00;-0.5;0.0;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
7;8;0.000;;-0.02;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;;-0.02;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;1.738;;-0.01;0.00;0.01;0.0;1.4;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.238;;-0.01;0.00;-0.01;0.0;1.4;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;-0.01;0.00;-0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;-0.01;0.00;-0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Extremes;3;4.500;ε_x;-0.01;0.00;-0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;ε_x;-0.02;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;γ_xy;-0.02;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;4.000;γ_xy;-0.01;0.00;-0.05;0.0;0.4;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;γ_xz;-0.02;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;γ_xz;-0.01;0.00;-0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.000;κ_x;-0.01;0.00;0.00;0.0;1.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;κ_x;-0.02;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.000;κ_y;-0.01;0.00;0.00;0.0;1.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;κ_y;-0.02;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;κ_z;-0.02;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.000;κ_z;-0.01;0.00;0.00;0.0;1.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Total;;;;-0.01;0.00;0.08;0.0;1.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;;;-0.02;0.00;-0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
;;;;;;;;;;
8;9;0.000;;-0.02;0.00;0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;;-0.02;0.00;0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.238;;-0.02;0.00;0.00;0.0;1.4;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;;-0.02;0.00;-0.04;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;;-0.02;0.00;-0.04;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
Extremes;4;5.000;ε_x;-0.02;0.00;-0.04;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;ε_x;-0.02;0.00;0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;γ_xy;-0.02;0.00;0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;4.500;γ_xy;-0.02;0.00;-0.04;0.0;0.4;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;γ_xz;-0.02;0.00;0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;γ_xz;-0.02;0.00;-0.04;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.000;κ_x;-0.02;0.00;0.01;0.0;1.4;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;κ_x;-0.02;0.00;0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.238;κ_y;-0.02;0.00;0.00;0.0;1.4;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;κ_y;-0.02;0.00;0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;κ_z;-0.02;0.00;0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.500;κ_z;-0.02;0.00;-0.01;0.0;1.4;0.0;Beam | 2 - HEA 160 | L : 5.000 m
Total;;;;-0.02;0.00;0.07;0.0;1.4;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;;;-0.02;0.00;-0.04;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
;;;;;;;;;;
9;10;0.000;;-0.02;0.00;0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;;-0.02;0.00;0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;1.738;;-0.01;0.00;0.01;0.0;0.9;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.238;;-0.01;0.00;-0.01;0.0;0.9;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;;-0.01;0.00;-0.03;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;;-0.01;0.00;-0.03;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Extremes;5;4.500;ε_x;-0.01;0.00;-0.03;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;ε_x;-0.02;0.00;0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;γ_xy;-0.02;0.00;0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;γ_xy;-0.01;0.00;-0.03;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;γ_xz;-0.02;0.00;0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;γ_xz;-0.01;0.00;-0.03;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.000;κ_x;-0.01;0.00;0.00;0.0;0.9;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;κ_x;-0.02;0.00;0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.000;κ_y;-0.01;0.00;0.00;0.0;0.9;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;κ_y;-0.02;0.00;0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;κ_z;-0.02;0.00;0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.000;κ_z;-0.01;0.00;0.00;0.0;0.9;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Total;;;;-0.01;0.00;0.05;0.0;0.9;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;;;-0.02;0.00;-0.03;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
;;;;;;;;;;
10;11;0.000;;-0.02;0.00;-0.06;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;;-0.02;0.00;-0.06;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;1.500;;-0.02;0.00;-0.07;-0.1;-0.4;-0.1;Beam | 1 - IPE 500 | L : 4.000 m
10;;1.500;;-0.02;0.00;-0.07;-0.1;-0.4;-0.1;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;;-0.02;0.00;-0.08;0.3;-1.1;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;;-0.02;0.00;-0.08;0.3;-1.1;0.0;Beam | 1 - IPE 500 | L : 4.000 m
Extremes;12;4.000;ε_x;-0.02;0.00;-0.08;0.3;-1.1;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;ε_x;-0.02;0.00;-0.06;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;γ_xy;-0.02;0.00;-0.06;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;γ_xy;-0.02;0.00;-0.08;0.3;-1.1;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;γ_xz;-0.02;0.00;-0.06;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;γ_xz;-0.02;0.00;-0.08;0.3;-1.1;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;κ_x;-0.02;0.00;-0.08;0.3;-1.1;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;1.000;κ_x;-0.02;0.00;-0.07;-0.1;-0.3;-0.1;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;κ_y;-0.02;0.00;-0.06;0.0;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;κ_y;-0.02;0.00;-0.08;0.3;-1.1;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;κ_z;-0.02;0.00;-0.08;0.3;-1.1;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;2.000;κ_z;-0.02;0.00;-0.08;0.0;-0.5;-0.2;Beam | 1 - IPE 500 | L : 4.000 m
Total;;;;-0.02;0.00;-0.06;0.3;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;;;-0.02;0.00;-0.08;-0.1;-1.1;-0.2;Beam | 1 - IPE 500 | L : 4.000 m
;;;;;;;;;;
11;12;0.000;;-0.02;0.00;0.10;0.1;-1.1;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;;0.825;;-0.02;0.00;0.10;0.1;-0.8;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;;0.825;;-0.02;0.00;0.10;0.1;-0.8;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;;1.005;;-0.02;0.00;0.10;0.1;-0.8;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;;-0.02;0.00;0.10;0.2;-0.5;0.0;Beam | 1 - IPE 500 | L : 1.650 m
Extremes;111;1.650;ε_x;-0.02;0.00;0.10;0.2;-0.5;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;ε_x;-0.02;0.00;0.10;0.1;-1.1;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;γ_xy;-0.02;0.00;0.10;0.2;-0.5;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;γ_xy;-0.02;0.00;0.10;0.1;-1.1;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;γ_xz;-0.02;0.00;0.10;0.1;-1.1;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;γ_xz;-0.02;0.00;0.10;0.2;-0.5;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;κ_x;-0.02;0.00;0.10;0.2;-0.5;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;κ_x;-0.02;0.00;0.10;0.1;-1.1;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;κ_y;-0.02;0.00;0.10;0.2;-0.5;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;κ_y;-0.02;0.00;0.10;0.1;-1.1;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;;0.619;κ_z;-0.02;0.00;0.10;0.1;-0.9;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;κ_z;-0.02;0.00;0.10;0.2;-0.5;0.0;Beam | 1 - IPE 500 | L : 1.650 m
Total;;;;-0.02;0.00;0.10;0.2;-0.5;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;;;;-0.02;0.00;0.10;0.1;-1.1;0.0;Beam | 1 - IPE 500 | L : 1.650 m
;;;;;;;;;;
12;13;0.000;;-0.02;0.00;0.04;0.1;0.4;0.0;Beam | 1 - IPE 500 | L : 1.575 m
12;;0.787;;-0.02;0.00;0.04;0.1;0.5;0.0;Beam | 1 - IPE 500 | L : 1.575 m
12;;0.787;;-0.02;0.00;0.04;0.1;0.5;0.0;Beam | 1 - IPE 500 | L : 1.575 m
12;114;1.575;;-0.02;0.00;0.04;0.1;0.6;0.0;Beam | 1 - IPE 500 | L : 1.575 m
Extremes;114;1.575;ε_x;-0.02;0.00;0.04;0.1;0.6;0.0;Beam | 1 - IPE 500 | L : 1.575 m
12;13;0.000;ε_x;-0.02;0.00;0.04;0.1;0.4;0.0;Beam | 1 - IPE 500 | L : 1.575 m
12;114;1.575;γ_xy;-0.02;0.00;0.04;0.1;0.6;0.0;Beam | 1 - IPE 500 | L : 1.575 m
12;13;0.000;γ_xy;-0.02;0.00;0.04;0.1;0.4;0.0;Beam | 1 - IPE 500 | L : 1.575 m
12;13;0.000;γ_xz;-0.02;0.00;0.04;0.1;0.4;0.0;Beam | 1 - IPE 500 | L : 1.575 m
